Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
1700044C05Rik	current symbol	MGI:1920556	1700044C05Rik	RIKEN cDNA 1700044C05 gene	lncRNA gene
1700045H11Rik	current symbol	MGI:1920598	1700045H11Rik	RIKEN cDNA 1700045H11 gene	lncRNA gene
1700046C09Rik	current symbol	MGI:1920557	1700046C09Rik	RIKEN cDNA 1700046C09 gene	lncRNA gene
1700047E10Rik	current symbol	MGI:1921578	1700047E10Rik	RIKEN cDNA 1700047E10 gene	lncRNA gene
1700048O20Rik	current symbol	MGI:1920637	1700048O20Rik	RIKEN cDNA 1700048O20 gene	lncRNA gene
1700049E15Rik	current symbol	MGI:1920644	1700049E15Rik	RIKEN cDNA 1700049E15 gene	lncRNA gene
1700049E22Rik	current symbol	MGI:1920645	1700049E22Rik	RIKEN cDNA 1700049E22 gene	lncRNA gene
1700049L16Rik	current symbol	MGI:1920633	1700049L16Rik	RIKEN cDNA 1700049L16 gene	pseudogene
1700051A21Rik	current symbol	MGI:1920616	1700051A21Rik	RIKEN cDNA 1700051A21 gene	lncRNA gene
1700052K11Rik	current symbol	MGI:1920681	1700052K11Rik	RIKEN cDNA 1700052K11 gene	lncRNA gene
1700054A03Rik	current symbol	MGI:1925707	1700054A03Rik	RIKEN cDNA 1700054A03 gene	lncRNA gene
1700057H15Rik	current symbol	MGI:1925710	1700057H15Rik	RIKEN cDNA 1700057H15 gene	lncRNA gene
1700060C16Rik	current symbol	MGI:1920675	1700060C16Rik	RIKEN cDNA 1700060C16 gene	lncRNA gene
1700060C20Rik	current symbol	MGI:1920649	1700060C20Rik	RIKEN cDNA 1700060C20 gene	lncRNA gene
1700061F12Rik	current symbol	MGI:1920688	1700061F12Rik	RIKEN cDNA 1700061F12 gene	lncRNA gene
1700061I17Rik	current symbol	MGI:1920612	1700061I17Rik	RIKEN cDNA 1700061I17 gene	lncRNA gene
1700063A18Rik	current symbol	MGI:1920704	1700063A18Rik	RIKEN cDNA 1700063A18 gene	lncRNA gene
1700063D05Rik	current symbol	MGI:1925750	1700063D05Rik	RIKEN cDNA 1700063D05 gene	lncRNA gene
1700064J06Rik	current symbol	MGI:1920650	1700064J06Rik	RIKEN cDNA 1700064J06 gene	lncRNA gene
1700065J11Rik	current symbol	MGI:1920659	1700065J11Rik	RIKEN cDNA 1700065J11 gene	lncRNA gene
1700065O20Rik	current symbol	MGI:1923859	1700065O20Rik	RIKEN cDNA 1700065O20 gene	lncRNA gene
1700066N21Rik	current symbol	MGI:1920721	1700066N21Rik	RIKEN cDNA 1700066N21 gene	lncRNA gene
1700066O22Rik	current symbol	MGI:1920651	1700066O22Rik	RIKEN cDNA 1700066O22 gene	lncRNA gene
1700069L16Rik	current symbol	MGI:1920726	1700069L16Rik	RIKEN cDNA 1700069L16 gene	protein coding gene
1700069P05Rik	current symbol	MGI:1920781	1700069P05Rik	RIKEN cDNA 1700069P05 gene	lncRNA gene
1700071M16Rik	current symbol	MGI:1920754	1700071M16Rik	RIKEN cDNA 1700071M16 gene	lncRNA gene
1700072B07Rik	current symbol	MGI:1920779	1700072B07Rik	RIKEN cDNA 1700072B07 gene	lncRNA gene
1700072O05Rik	current symbol	MGI:1920755	1700072O05Rik	RIKEN cDNA 1700072O05 gene	lncRNA gene
1700073E17Rik	current symbol	MGI:1920734	1700073E17Rik	RIKEN cDNA 1700073E17 gene	pseudogene
1700080N15Rik	current symbol	MGI:1920739	1700080N15Rik	RIKEN cDNA 1700080N15 gene	lncRNA gene
1700081H22Rik	old symbol	MGI:1920765	Nell1os	NEL-like 1, opposite strand	antisense lncRNA gene
1700084F23Rik	current symbol	MGI:1921530	1700084F23Rik	RIKEN cDNA 1700084F23 gene	lncRNA gene
1700085B03Rik	old symbol	MGI:1914601	Tmem132cos	transmembrane protein 132C, opposite strand	antisense lncRNA gene
1700085C21Rik	current symbol	MGI:1921533	1700085C21Rik	RIKEN cDNA 1700085C21 gene	lncRNA gene
1700086L19Rik	current symbol	MGI:1921534	1700086L19Rik	RIKEN cDNA 1700086L19 gene	protein coding gene
1700086O06Rik	current symbol	MGI:1920766	1700086O06Rik	RIKEN cDNA 1700086O06 gene	lncRNA gene
1700091E21Rik	old symbol	MGI:1920838	St8sia3os	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand	antisense lncRNA gene
1700091H14Rik	current symbol	MGI:1920803	1700091H14Rik	RIKEN cDNA 1700091H14 gene	lncRNA gene
1700092C10Rik	current symbol	MGI:1920804	1700092C10Rik	RIKEN cDNA 1700092C10 gene	lncRNA gene
1700092E19Rik	current symbol	MGI:1920826	1700092E19Rik	RIKEN cDNA 1700092E19 gene	lncRNA gene
1700094J05Rik	current symbol	MGI:1914773	1700094J05Rik	RIKEN cDNA 1700094J05 gene	lncRNA gene
1700094M24Rik	current symbol	MGI:1921554	1700094M24Rik	RIKEN cDNA 1700094M24 gene	lncRNA gene
1700095A21Rik	current symbol	MGI:1914774	1700095A21Rik	RIKEN cDNA 1700095A21 gene	lncRNA gene
1700095B10Rik	current symbol	MGI:1914610	1700095B10Rik	RIKEN cDNA 1700095B10 gene	lncRNA gene
1700095B22Rik	old symbol	MGI:1925885	Kcnd3os	potassium voltage-gated channel, Shal-related family, member 3, opposite strand	antisense lncRNA gene
1700096J18Rik	current symbol	MGI:1915177	1700096J18Rik	RIKEN cDNA 1700096J18 gene	lncRNA gene
1700097N02Rik	current symbol	MGI:1914772	1700097N02Rik	RIKEN cDNA 1700097N02 gene	lncRNA gene
1700101O22Rik	current symbol	MGI:1920825	1700101O22Rik	RIKEN cDNA 1700101O22 gene	lncRNA gene
1700104A03Rik	old symbol	MGI:1920817	Gldnos	gliomedin, opposite strand	antisense lncRNA gene
1700108F19Rik	current symbol	MGI:1920814	1700108F19Rik	RIKEN cDNA 1700108F19 gene	lncRNA gene
1700109F18Rik	old symbol	MGI:1923875	Hoxd3os1	homeobox D3, opposite strand 1	antisense lncRNA gene
1700109G14Rik	current symbol	MGI:1914605	1700109G14Rik	RIKEN cDNA 1700109G14 gene	lncRNA gene
1700109I08Rik	current symbol	MGI:1920841	1700109I08Rik	RIKEN cDNA 1700109I08 gene	lncRNA gene
1700110C19Rik	current symbol	MGI:1923884	1700110C19Rik	RIKEN cDNA 1700110C19 gene	lncRNA gene
1700110I01Rik	current symbol	MGI:1920799	1700110I01Rik	RIKEN cDNA 1700110I01 gene	lncRNA gene
1700110I01Rik:copy2		No associated gene			
1700110I01Rik:copy3		No associated gene			
1700110K17Rik	current symbol	MGI:1920808	1700110K17Rik	RIKEN cDNA 1700110K17 gene	lncRNA gene
1700111N16Rik	current symbol	MGI:1921555	1700111N16Rik	RIKEN cDNA 1700111N16 gene	lncRNA gene
1700112H15Rik	current symbol	MGI:1920840	1700112H15Rik	RIKEN cDNA 1700112H15 gene	lncRNA gene
1700112J05Rik	current symbol	MGI:3696786	1700112J05Rik	RIKEN cDNA 1700112J05 gene	lncRNA gene
1700113A16Rik	current symbol	MGI:1923892	1700113A16Rik	RIKEN cDNA 1700113A16 gene	lncRNA gene
1700119H24Rik	current symbol	MGI:1923899	1700119H24Rik	RIKEN cDNA 1700119H24 gene	lncRNA gene
1700120C14Rik	current symbol	MGI:1920850	1700120C14Rik	RIKEN cDNA 1700120C14 gene	lncRNA gene
1700120E14Rik	current symbol	MGI:1920856	1700120E14Rik	RIKEN cDNA 1700120E14 gene	lncRNA gene
1700120G07Rik	current symbol	MGI:1921564	1700120G07Rik	RIKEN cDNA 1700120G07 gene	lncRNA gene
1700121L16Rik	current symbol	MGI:1923893	1700121L16Rik	RIKEN cDNA 1700121L16 gene	lncRNA gene
1700121N20Rik	current symbol	MGI:1923889	1700121N20Rik	RIKEN cDNA 1700121N20 gene	lncRNA gene
1700123M08Rik	current symbol	MGI:1923915	1700123M08Rik	RIKEN cDNA 1700123M08 gene	lncRNA gene
1700123O12Rik	current symbol	MGI:1920874	1700123O12Rik	RIKEN cDNA 1700123O12 gene	lncRNA gene
1700123O21Rik	current symbol	MGI:1915488	1700123O21Rik	RIKEN cDNA 1700123O21 gene	lncRNA gene
1700125G02Rik	current symbol	MGI:1920878	1700125G02Rik	RIKEN cDNA 1700125G02 gene	lncRNA gene
1700125G22Rik	current symbol	MGI:1923907	1700125G22Rik	RIKEN cDNA 1700125G22 gene	lncRNA gene
1700125H03Rik	current symbol	MGI:1920859	1700125H03Rik	RIKEN cDNA 1700125H03 gene	lncRNA gene
1700126H18Rik	current symbol	MGI:1920889	1700126H18Rik	RIKEN cDNA 1700126H18 gene	lncRNA gene
1700128A07Rik	current symbol	MGI:1920881	1700128A07Rik	RIKEN cDNA 1700128A07 gene	lncRNA gene
1700128F08Rik	current symbol	MGI:1923919	1700128F08Rik	RIKEN cDNA 1700128F08 gene	pseudogene
1810006J02Rik	current symbol	MGI:1916280	1810006J02Rik	RIKEN cDNA 1810006J02 gene	lncRNA gene
1810007D17Rik	current symbol	MGI:1916305	1810007D17Rik	RIKEN cDNA 1810007D17 gene	lncRNA gene
1810007I06Rik	old symbol	MGI:1923934	Pla2g10os	phospholipase A2, group X, opposite strand	antisense lncRNA gene
1810014B01Rik	current symbol	MGI:1913513	1810014B01Rik	RIKEN cDNA 1810014B01 gene	pseudogene
1810019D21Rik	current symbol	MGI:1917021	1810019D21Rik	RIKEN cDNA 1810019D21 gene	lncRNA gene
1810020O05Rik	old symbol	MGI:3586838	Cfap92	cilia and flagella associated protein 92	protein coding gene
1810026B05Rik	old symbol	MGI:1916420	Chaserr	CHD2 adjacent suppressive regulatory RNA	lncRNA gene
1810032O08Rik	old symbol	MGI:1913543	Snhg16	small nucleolar RNA host gene 16	lncRNA gene
1810034E14Rik	current symbol	MGI:1913753	1810034E14Rik	RIKEN cDNA 1810034E14 gene	lncRNA gene
1810053B23Rik	current symbol	MGI:1917107	1810053B23Rik	RIKEN cDNA 1810053B23 gene	lncRNA gene
1810058I24Rik	old symbol	MGI:1914955	Stmp1	short transmembrane mitochondrial protein 1	protein coding gene
1810062O18Rik	current symbol	MGI:1922852	1810062O18Rik	RIKEN cDNA 1810062O18 gene	lncRNA gene
2010009K17Rik	current symbol	MGI:1919590	2010009K17Rik	RIKEN cDNA 2010009K17 gene	lncRNA gene
2010010A06Rik	current symbol	MGI:1913686	2010010A06Rik	RIKEN cDNA 2010010A06 gene	lncRNA gene
2010016I18Rik	current symbol	MGI:1916456	2010016I18Rik	RIKEN cDNA 2010016I18 gene	lncRNA gene
2010204K13Rik	current symbol	MGI:1922859	2010204K13Rik	RIKEN cDNA 2010204K13 gene	lncRNA gene
2010308F09Rik	current symbol	MGI:1919372	2010308F09Rik	RIKEN cDNA 2010308F09 gene	lncRNA gene
2010310C07Rik	current symbol	MGI:1919381	2010310C07Rik	RIKEN cDNA 2010310C07 gene	lncRNA gene
2210015D19Rik	old symbol	MGI:1913774	Ube2d-ps	ubiquitin-conjugating enzyme E2D, pseudogene	pseudogene
2210019I11Rik	old symbol	MGI:1917397	Plut	PDX1 associated lncRNA, upregulator of transcription	lncRNA gene
2210039B01Rik	current symbol	MGI:1920894	2210039B01Rik	RIKEN cDNA 2210039B01 gene	lncRNA gene
2210408F21Rik	current symbol	MGI:1920902	2210408F21Rik	RIKEN cDNA 2210408F21 gene	lncRNA gene
2210414B05Rik	current symbol	MGI:1917393	2210414B05Rik	RIKEN cDNA 2210414B05 gene	lncRNA gene
2210416O15Rik	current symbol	MGI:1917643	2210416O15Rik	RIKEN cDNA 2210416O15 gene	lncRNA gene
2210417K05Rik	old symbol	MGI:1917412	Hk1os	hexokinase 1, opposite strand	antisense lncRNA gene
2210420H20Rik	current symbol	MGI:1924211	2210420H20Rik	RIKEN cDNA 2210420H20 gene	lncRNA gene
2310001H17Rik	current symbol	MGI:1923682	2310001H17Rik	RIKEN cDNA 2310001H17 gene	lncRNA gene
2310002D06Rik	current symbol	MGI:1916772	2310002D06Rik	RIKEN cDNA 2310002D06 gene	lncRNA gene
2310002F09Rik	current symbol	MGI:1916779	2310002F09Rik	RIKEN cDNA 2310002F09 gene	lncRNA gene
2310005E17Rik	current symbol	MGI:1917340	2310005E17Rik	RIKEN cDNA 2310005E17 gene	lncRNA gene
2310008N11Rik	current symbol	MGI:1919566	2310008N11Rik	RIKEN cDNA 2310008N11 gene	lncRNA gene
2310014F07Rik	old symbol	MGI:1916881	Plet1os	placenta expressed transcript 1, opposite strand	antisense lncRNA gene
2310015A10Rik	current symbol	MGI:1916798	2310015A10Rik	RIKEN cDNA 2310015A10 gene	lncRNA gene
2310015B20Rik	old symbol	MGI:1916813	Mrln	myoregulin	protein coding gene
2310015D24Rik	current symbol	MGI:1917350	2310015D24Rik	RIKEN cDNA 2310015D24 gene	lncRNA gene
2310016D03Rik	current symbol	MGI:1916816	2310016D03Rik	RIKEN cDNA 2310016D03 gene	lncRNA gene
2310020H05Rik	current symbol	MGI:1916853	2310020H05Rik	RIKEN cDNA 2310020H05 gene	lncRNA gene
2310030A07Rik	current symbol	MGI:1922834	2310030A07Rik	RIKEN cDNA 2310030A07 gene	lncRNA gene
2310034O05Rik	current symbol	MGI:1916821	2310034O05Rik	RIKEN cDNA 2310034O05 gene	lncRNA gene
2310039L15Rik	current symbol	MGI:1916879	2310039L15Rik	RIKEN cDNA 2310039L15 gene	lncRNA gene
2310043O21Rik	current symbol	MGI:1916929	2310043O21Rik	RIKEN cDNA 2310043O21 gene	lncRNA gene
2310044G17Rik	old symbol	MGI:1919185	Cipc	CLOCK interacting protein, circadian	protein coding gene
2310050B05Rik	old symbol	MGI:1916928	Atcayos	ataxia, cerebellar, Cayman type, opposite strand	antisense lncRNA gene
2310061J03Rik	old symbol	MGI:1913641	Zbtb11os1	zinc finger and BTB domain containing 11, opposite strand 1	antisense lncRNA gene
2310065F04Rik	current symbol	MGI:1921434	2310065F04Rik	RIKEN cDNA 2310065F04 gene	lncRNA gene
2310069B03Rik	current symbol	MGI:1916902	2310069B03Rik	RIKEN cDNA 2310069B03 gene	lncRNA gene
2310069G16Rik	current symbol	MGI:1916909	2310069G16Rik	RIKEN cDNA 2310069G16 gene	lncRNA gene
